eye_X,eye_Y,eye_Z,snout_X,snout_Y,snout_Z,peduncle_X,peduncle_Y,peduncle_Z,dorsaltip_X,dorsaltip_Y,dorsaltip_Z,analtip_X,analtip_Y,analtip_Z,caudaltip_X,caudaltip_Y,caudaltip_Z,Rpecttip_X,Rpecttip_Y,Rpecttip_Z,Rpectbase_X,Rpectbase_Y,Rpectbase_Z,Lpectbase_X,Lpectbase_Y,Lpectbase_Z,Lpecttip_X,Lpecttip_Y,Lpecttip_Z,Rpelvictip_X,Rpelvictip_Y,Rpelvictip_Z,Rpelvicbase_X,Rpelvicbase_Y,Rpelvicbase_Z,Lpelvictip_X,Lpelvictip_Y,Lpelvictip_Z,Lpelvicbase_X,Lpelvicbase_Y,Lpelvicbase_Z
0.484119,5.485195,4.622152,0.191181,6.123259,4.833302,7.36381,5.026186,1.799387,7.41686,4.714157,2.490733,7.805117,5.452918,1.385329,8.609681,6.412002,2.024095,1.128682,4.668284,2.682103,1.157236,5.179897,3.654222,1.258474,5.817481,3.684754,1.61047,6.214625,3.037373,5.78985,4.508366,1.469843,5.193197,4.474814,1.788897,5.843417,4.89746,1.380631,5.252681,4.763739,1.798053
0.490194,5.500616,4.629876,0.194711,6.122427,4.844394,7.361729,5.024336,1.800742,7.414746,4.690867,2.49424,7.800297,5.4547,1.379948,8.602216,6.415778,2.035161,1.154655,4.634411,2.694826,1.157236,5.179897,3.654222,1.256475,5.81691,3.685566,1.676195,6.183149,2.989745,5.792362,4.485176,1.46757,5.193544,4.451704,1.787373,5.828001,4.897889,1.370484,5.229055,4.763769,1.798204
0.490473,5.508109,4.636184,0.202858,6.143931,4.855653,7.357557,5.024529,1.796687,7.392227,4.679469,2.494116,7.794827,5.455894,1.37639,8.592932,6.425422,2.042127,1.215397,4.601863,2.705,1.157772,5.179392,3.664646,1.256519,5.828021,3.686124,1.736407,6.099079,2.890723,5.786773,4.485227,1.467226,5.190756,4.451747,1.7872,5.817731,4.886272,1.369783,5.218984,4.740668,1.796842
0.490718,5.507781,4.642531,0.203284,6.154504,4.861521,7.352546,5.024817,1.790638,7.392227,4.679469,2.494116,7.791471,5.456189,1.373102,8.585828,6.435169,2.044819,1.222261,4.600498,2.732015,1.158039,5.17914,3.669858,1.256519,5.828021,3.686124,1.734977,6.059791,2.770103,5.778389,4.485305,1.466713,5.190756,4.451747,1.7872,5.794667,4.8862,1.370587,5.202999,4.740741,1.796656
0.490773,5.507436,4.649445,0.209176,6.175962,4.862829,7.348241,5.025161,1.783414,7.378515,4.668637,2.478486,7.787789,5.456094,1.371825,8.569248,6.3294,2.038306,1.224404,4.598754,2.77449,1.158575,5.178635,3.68028,1.256607,5.850242,3.687239,1.775925,6.004935,2.712471,5.775595,4.485332,1.466542,5.185179,4.451833,1.786856,5.776889,4.863171,1.364017,5.179546,4.729224,1.796046
0.490679,5.507118,4.655985,0.213037,6.174793,4.87934,7.321774,5.002358,1.775265,7.367741,4.646352,2.459773,7.784603,5.455773,1.370778,8.569984,6.306176,2.036815,1.150626,4.627364,2.856182,1.158843,5.178382,3.68549,1.256607,5.850242,3.687239,1.758711,5.913842,2.708819,5.764417,4.485443,1.465864,5.176702,4.452389,1.775676,5.769201,4.863147,1.364294,5.171905,4.729181,1.796388
0.49039,5.50684,4.661927,0.213707,6.174129,4.890199,7.32692,4.99347,1.799212,7.365197,4.646679,2.452222,7.777996,5.44201,1.368718,8.565301,6.270988,2.034702,1.07258,4.688777,2.802843,1.156566,5.222743,3.692716,1.254678,5.849503,3.702573,1.798925,5.844831,2.72159,5.747856,4.473998,1.464056,5.171069,4.452691,1.770001,5.756141,4.851563,1.363443,5.154013,4.717586,1.796138
0.489125,5.506769,4.664815,0.219752,6.173452,4.896067,7.30229,4.955164,1.791078,7.345096,4.635564,2.444269,7.759388,5.418708,1.36763,8.554378,6.237306,2.026055,0.959651,4.743884,2.773035,1.157236,5.255579,3.704794,1.237182,5.860171,3.703785,1.845789,5.773867,2.775684,5.736623,4.474549,1.452695,5.156956,4.453557,1.75315,5.732402,4.851614,1.363528,5.145896,4.695062,1.783438
0.488918,5.506473,4.671054,0.219752,6.173452,4.896067,7.281651,4.94397,1.783107,7.330166,4.612547,2.442798,7.756487,5.406948,1.367888,8.549971,6.272279,2.016778,0.824887,4.743578,2.749147,1.148039,5.288015,3.722311,1.237487,5.870983,3.709516,1.861441,5.680384,2.833334,5.722824,4.463302,1.44572,5.14859,4.453699,1.752645,5.726827,4.851681,1.36321,5.137662,4.68386,1.776821
0.499076,5.506622,4.676848,0.220087,6.17312,4.901495,7.276705,4.940998,1.776014,7.326503,4.601015,2.441966,7.745423,5.407005,1.367694,8.545496,6.272611,2.010051,0.650272,4.719096,2.73668,1.148084,5.299126,3.722863,1.237576,5.893194,3.710627,1.855327,5.630425,2.910634,5.698989,4.464016,1.429775,5.130617,4.442315,1.747013,5.726827,4.851681,1.36321,5.137662,4.68386,1.776821
0.499055,5.506318,4.683027,0.215205,6.150678,4.916481,7.270864,4.938376,1.770826,7.320036,4.601462,2.431777,7.740201,5.405349,1.367876,8.546375,6.276642,2.003644,0.610511,4.79685,2.767625,1.140941,5.298594,3.728519,1.238098,5.892603,3.720973,1.860148,5.628033,2.943342,5.688796,4.441636,1.406889,5.122969,4.442274,1.747335,5.726827,4.851681,1.36321,5.134762,4.684353,1.766
